*Wavelength (um) n k 
ComplexRefractiveIndex { 
  Formula = 1 
NumericalTable( 
2.022 3.405 0.183; 
2.027 3.405 0.1829; 
2.032 3.405 0.1828; 
2.037 3.405 0.1827; 
2.042 3.405 0.1826; 
2.047 3.405 0.1825; 
2.052 3.405 0.1823; 
2.057 3.405 0.1822; 
2.063 3.405 0.1821; 
2.068 3.405 0.182; 
2.073 3.405 0.1819; 
2.078 3.405 0.1817; 
2.083 3.405 0.1816; 
2.089 3.405 0.1815; 
2.094 3.405 0.1813; 
2.099 3.405 0.1812; 
2.105 3.405 0.181; 
2.11 3.405 0.1809; 
2.115 3.405 0.1807; 
2.121 3.405 0.1806; 
2.126 3.405 0.1804; 
2.132 3.405 0.1803; 
2.137 3.405 0.1801; 
2.143 3.405 0.1799; 
2.148 3.405 0.1798; 
2.154 3.405 0.1796; 
2.16 3.405 0.1794; 
2.165 3.405 0.1792; 
2.171 3.405 0.179; 
2.177 3.405 0.1788; 
2.182 3.405 0.1787; 
2.188 3.405 0.1785; 
2.194 3.405 0.1783; 
2.2 3.405 0.1781; 
2.206 3.405 0.1779; 
2.212 3.405 0.1777; 
2.218 3.405 0.1774; 
2.223 3.405 0.1772; 
2.229 3.405 0.177; 
2.236 3.405 0.1768; 
2.242 3.405 0.1766; 
2.248 3.405 0.1763; 
2.254 3.405 0.1761; 
2.26 3.405 0.1759; 
2.266 3.405 0.1756; 
2.272 3.405 0.1754; 
2.279 3.405 0.1752; 
2.285 3.405 0.1749; 
2.291 3.405 0.1747; 
2.298 3.405 0.1744; 
2.304 3.405 0.1741; 
2.311 3.405 0.1739; 
2.317 3.405 0.1736; 
2.323 3.405 0.1733; 
2.33 3.405 0.173; 
2.337 3.405 0.1728; 
2.343 3.405 0.1725; 
2.35 3.405 0.1722; 
2.357 3.405 0.1719; 
2.363 3.405 0.1716; 
2.37 3.405 0.1713; 
2.377 3.405 0.171; 
2.384 3.405 0.1707; 
2.391 3.405 0.1703; 
2.398 3.405 0.17; 
2.405 3.405 0.1697; 
2.412 3.405 0.1694; 
2.419 3.405 0.169; 
2.426 3.405 0.1687; 
2.433 3.405 0.1683; 
2.44 3.405 0.168; 
2.447 3.405 0.1676; 
2.455 3.405 0.1672; 
2.462 3.405 0.1669; 
2.469 3.405 0.1665; 
2.477 3.405 0.1661; 
2.484 3.405 0.1657; 
2.492 3.405 0.1653; 
2.499 3.405 0.1649; 
2.507 3.405 0.1645; 
2.514 3.405 0.1641; 
2.522 3.405 0.1637; 
2.53 3.405 0.1632; 
2.538 3.405 0.1628; 
2.545 3.405 0.1624; 
2.553 3.405 0.1619; 
2.561 3.405 0.1615; 
2.569 3.405 0.161; 
2.577 3.405 0.1605; 
2.585 3.405 0.16; 
2.593 3.405 0.1595; 
2.601 3.405 0.159; 
2.61 3.405 0.1585; 
2.618 3.405 0.158; 
2.626 3.405 0.1575; 
2.635 3.405 0.157; 
2.643 3.405 0.1564; 
2.652 3.405 0.1559; 
2.66 3.405 0.1553; 
2.669 3.405 0.1548; 
2.677 3.405 0.1542; 
2.686 3.405 0.1536; 
2.695 3.405 0.153; 
2.704 3.405 0.1524; 
2.712 3.405 0.1517; 
2.721 3.405 0.1511; 
2.73 3.405 0.1505; 
2.739 3.405 0.1498; 
2.749 3.405 0.1491; 
2.758 3.405 0.1485; 
2.767 3.405 0.1478; 
2.776 3.405 0.1471; 
2.786 3.405 0.1463; 
2.795 3.405 0.1456; 
2.804 3.405 0.1448; 
2.814 3.405 0.1441; 
2.824 3.405 0.1433; 
2.833 3.404 0.1425; 
2.843 3.404 0.1417; 
2.853 3.404 0.1409; 
2.863 3.404 0.14; 
2.873 3.404 0.1392; 
2.883 3.404 0.1383; 
2.893 3.404 0.1374; 
2.903 3.404 0.1365; 
2.913 3.404 0.1355; 
2.924 3.404 0.1346; 
2.934 3.404 0.1336; 
2.944 3.404 0.1326; 
2.955 3.404 0.1315; 
2.966 3.404 0.1305; 
2.976 3.404 0.1294; 
2.987 3.404 0.1283; 
2.998 3.404 0.1272; 
3.009 3.404 0.126; 
3.02 3.404 0.1249; 
3.031 3.404 0.1236; 
3.042 3.404 0.1224; 
3.053 3.404 0.1211; 
3.064 3.404 0.1198; 
3.076 3.404 0.1185; 
3.087 3.404 0.1171; 
3.099 3.404 0.1157; 
3.111 3.404 0.1142; 
3.122 3.404 0.1127; 
3.134 3.404 0.1112; 
3.146 3.404 0.1096; 
3.158 3.404 0.1079; 
3.17 3.404 0.1062; 
3.183 3.404 0.1045; 
3.195 3.404 0.1027; 
3.207 3.404 0.1008; 
3.22 3.404 0.09885; 
3.232 3.404 0.09684; 
3.245 3.404 0.09475; 
3.258 3.404 0.09258; 
3.271 3.404 0.09032; 
3.284 3.404 0.08796; 
3.297 3.404 0.08549; 
3.31 3.404 0.08291; 
3.323 3.404 0.0802; 
3.337 3.404 0.07734; 
3.35 3.404 0.07432; 
3.364 3.404 0.07112; 
3.378 3.404 0.06772; 
3.391 3.404 0.06406; 
3.405 3.404 0.06012; 
3.42 3.404 0.05582; 
3.434 3.404 0.05107; 
3.448 3.404 0.04574; 
3.463 3.404 0.03959; 
3.477 3.404 0.03213; 
3.492 3.404 0.0221; 
3.507 3.404 3.686e-6; 
3.522 3.404 3.733e-6; 
3.537 3.404 3.782e-6; 
3.552 3.404 3.831e-6; 
3.567 3.404 3.881e-6; 
3.583 3.404 3.933e-6; 
3.598 3.404 3.985e-6; 
3.614 3.404 4.038e-6; 
3.63 3.404 4.092e-6; 
3.646 3.404 4.146e-6; 
3.662 3.404 4.202e-6; 
3.678 3.404 4.259e-6; 
3.695 3.404 4.317e-6; 
3.711 3.403 4.376e-6; 
3.728 3.403 4.436e-6; 
3.745 3.403 4.497e-6; 
3.762 3.403 4.56e-6; 
3.779 3.403 4.623e-6; 
3.797 3.403 4.688e-6; 
3.814 3.403 4.753e-6; 
3.832 3.403 4.821e-6; 
3.85 3.403 4.889e-6; 
3.868 3.403 4.959e-6; 
3.886 3.403 5.03e-6; 
3.904 3.403 5.102e-6; 
3.923 3.403 5.176e-6; 
3.941 3.403 5.251e-6; 
3.96 3.403 5.328e-6; 
3.979 3.403 5.406e-6; 
3.999 3.403 5.485e-6; 
4.018 3.403 5.567e-6; 
4.038 3.403 5.65e-6; 
4.058 3.403 5.734e-6; 
4.078 3.403 5.82e-6; 
4.098 3.403 5.908e-6; 
4.118 3.403 5.998e-6; 
4.139 3.403 6.09e-6; 
4.16 3.403 6.183e-6; 
4.181 3.403 6.279e-6; 
4.202 3.403 6.376e-6; 
4.223 3.403 6.476e-6; 
4.245 3.403 6.577e-6; 
4.267 3.403 6.681e-6; 
4.289 3.403 6.787e-6; 
4.312 3.403 6.895e-6; 
4.334 3.403 7.005e-6; 
4.357 3.403 7.118e-6; 
4.38 3.403 7.234e-6; 
4.404 3.403 7.351e-6; 
4.427 3.402 7.472e-6; 
4.451 3.402 7.595e-6; 
4.475 3.402 7.72e-6; 
4.499 3.402 7.849e-6; 
4.524 3.402 7.98e-6; 
4.549 3.402 8.115e-6; 
4.574 3.402 8.252e-6; 
4.6 3.402 8.393e-6; 
4.625 3.402 8.537e-6; 
4.651 3.402 8.684e-6; 
4.678 3.402 8.834e-6; 
