Wavelength (nm), n , k
1.8991e+03, 3.4893e+00, 0.0000e+00
1.9278e+03, 3.4853e+00, 0.0000e+00
1.9573e+03, 3.4816e+00, 0.0000e+00
1.9877e+03, 3.4780e+00, 0.0000e+00
2.0191e+03, 3.4746e+00, 0.0000e+00
2.0515e+03, 3.4713e+00, 0.0000e+00
2.0850e+03, 3.4681e+00, 0.0000e+00
2.1196e+03, 3.4650e+00, 0.0000e+00
2.1553e+03, 3.4620e+00, 0.0000e+00
2.1923e+03, 3.4591e+00, 0.0000e+00
2.2305e+03, 3.4563e+00, 0.0000e+00
2.2701e+03, 3.4536e+00, 0.0000e+00
2.3112e+03, 3.4510e+00, 0.0000e+00
2.3537e+03, 3.4484e+00, 0.0000e+00
2.3979e+03, 3.4460e+00, 0.0000e+00
2.4437e+03, 3.4436e+00, 0.0000e+00
2.4913e+03, 3.4412e+00, 0.0000e+00
2.5409e+03, 3.4389e+00, 0.0000e+00
2.5924e+03, 3.4367e+00, 0.0000e+00
2.6461e+03, 3.4345e+00, 0.0000e+00
2.7020e+03, 3.4324e+00, 0.0000e+00
2.7603e+03, 3.4304e+00, 0.0000e+00
2.8213e+03, 3.4284e+00, 0.0000e+00
2.8849e+03, 3.4264e+00, 0.0000e+00
2.9515e+03, 3.4245e+00, 0.0000e+00
3.0213e+03, 3.4227e+00, 0.0000e+00
3.0944e+03, 3.4209e+00, 0.0000e+00
3.1712e+03, 3.4192e+00, 0.0000e+00
3.2519e+03, 3.4175e+00, 0.0000e+00
3.3367e+03, 3.4158e+00, 0.0000e+00
3.4262e+03, 3.4142e+00, 0.0000e+00
3.5205e+03, 3.4126e+00, 0.0000e+00
3.6202e+03, 3.4111e+00, 0.0000e+00
3.7258e+03, 3.4096e+00, 0.0000e+00
3.8376e+03, 3.4082e+00, 0.0000e+00
3.9564e+03, 3.4068e+00, 0.0000e+00
4.0827e+03, 3.4054e+00, 0.0000e+00
4.2174e+03, 3.4041e+00, 0.0000e+00
4.3613e+03, 3.4028e+00, 0.0000e+00
4.5154e+03, 3.4015e+00, 0.0000e+00
4.6807e+03, 3.4003e+00, 0.0000e+00
4.8586e+03, 3.3992e+00, 0.0000e+00
5.0506e+03, 3.3980e+00, 0.0000e+00
5.2583e+03, 3.3969e+00, 0.0000e+00
5.4839e+03, 3.3959e+00, 0.0000e+00
5.7297e+03, 3.3949e+00, 0.0000e+00
5.9986e+03, 3.3939e+00, 0.0000e+00
6.2939e+03, 3.3929e+00, 0.0000e+00
6.6199e+03, 3.3920e+00, 0.0000e+00
6.9814e+03, 3.3911e+00, 0.0000e+00
7.3847e+03, 3.3903e+00, 0.0000e+00
7.8375e+03, 3.3895e+00, 0.0000e+00
8.3494e+03, 3.3887e+00, 0.0000e+00
8.9328e+03, 3.3879e+00, 0.0000e+00
9.6040e+03, 3.3872e+00, 0.0000e+00
1.0384e+04, 3.3865e+00, 0.0000e+00
1.1302e+04, 3.3859e+00, 0.0000e+00
1.2398e+04, 3.3853e+00, 0.0000e+00
